수강생번호,이름,주민번호앞,성별,전화번호,이메일주소,근무지코드
A1247,최이슬,780614,F,010-1562-2***,5qTHP@mia.co.kr,H8
A1209,주요한,790620,F,010-9461-5***,bsLdk@mia.co.kr,H8
A1700,박인혜,800509,F,010-3763-8***,o997q@mia.co.kr,H2
A1648,이준호,720105,M,010-1541-9***,70c20@mia.co.kr,H28
A1899,김현지,771224,F,010-1001-9***,cnF0S@mia.co.kr,H28
A1662,김시내,750603,F,010-3611-5***,3s5it@mia.co.kr,H28
A1278,김한나,730825,F,010-7159-7***,tSCZB@mia.co.kr,H36
A1293,천인국,821224,F,010-5912-4***,NDJir@mia.co.kr,H20
A1222,임상희,850414,M,010-9544-5***,p1vwp@mia.co.kr,H34
A1949,라가영,780509,F,010-1385-4***,5pHFu@mia.co.kr,H13
A1599,전천후,851114,M,010-7740-1***,Jiv0x@mia.co.kr,H10
A1204,곽인혜,891118,M,010-9274-7***,aiFhR@mia.co.kr,H4
A1112,장우영,741025,F,010-3644-8***,mN2gd@mia.co.kr,H4
A1759,신동훈,760706,F,010-3641-4***,CuGHs@mia.co.kr,H21
A1440,박도훈,861011,F,010-9430-5***,nsMEh@mia.co.kr,H17
A1837,김민정,781218,M,010-7854-1***,Lbijs@mia.co.kr,H27
A1171,최희,770210,F,010-9688-4***,pTztp@mia.co.kr,H38
A1474,신성희,790723,M,010-5025-6***,YrPXp@mia.co.kr,H32
A1917,최가람,720721,F,010-2960-9***,8uEmr@mia.co.kr,H22
A1368,김성익,810215,M,010-9750-5***,e8yAc@mia.co.kr,H31
A1363,전예림,840715,F,010-5662-8***,sUCvU@mia.co.kr,H31
A1676,장성재,891010,F,010-6840-5***,URltP@mia.co.kr,H12
A1142,최하연,840424,M,010-9639-5***,mZNqo@mia.co.kr,H12
A1477,이한결,720619,F,010-8723-2***,3h6wL@mia.co.kr,H12
A1333,심진아,810704,M,010-5818-8***,0rngv@mia.co.kr,H35
A1370,김다롬,741101,F,010-9005-8***,5HtSB@mia.co.kr,H5
A1623,양다해,800913,M,010-3167-8***,AWCpi@mia.co.kr,H5
A1679,배정호,740815,F,010-5414-5***,UybiZ@mia.co.kr,H5
A1491,서민지,770619,F,010-8115-5***,Khopl@mia.co.kr,H5
A1543,박정은,850624,F,010-4226-9***,DIqwB@mia.co.kr,H7
A1504,이현조,700102,M,010-9844-2***,BSCGy@mia.co.kr,H7
A1510,이정화,761115,F,010-1741-9***,gV3MM@mia.co.kr,H7
A1997,윤수정,741110,F,010-6701-1***,taDOt@mia.co.kr,H7
A1970,서정한,791028,F,010-8322-7***,8cVLw@mia.co.kr,H7
A1522,이경민,820302,M,010-9867-9***,vJOdO@mia.co.kr,H7
A1418,장지련,861026,F,010-5799-5***,ZDMrL@mia.co.kr,H11
A1521,김지연,860408,F,010-1334-5***,gsesS@mia.co.kr,H6
A1819,황영욱,810520,M,010-1585-3***,R2FoF@mia.co.kr,H33
A1642,윤병선,831108,F,010-5535-7***,LB4V9@mia.co.kr,H26
A1680,김순선,771213,F,010-6307-7***,VJ9Yo@mia.co.kr,H24
A1094,정규화,840425,F,010-3692-7***,VPlmD@mia.co.kr,H24
A1815,서은미,800206,F,010-7534-5***,zpXX6@mia.co.kr,H16
A1511,고순정,890808,M,010-3166-3***,v4Dmm@mia.co.kr,H29
A1914,박혜정,870727,F,010-9212-8***,LOcFY@mia.co.kr,H37
A1252,양솔지,741221,M,010-7696-1***,lWq7r@mia.co.kr,H15
A1033,김경민,860121,F,010-6255-8***,Ce1U1@mia.co.kr,H25
A1850,김지범,770825,F,010-3238-8***,2ZTj8@mia.co.kr,H23
A1901,홍가혜,750327,M,010-8581-2***,cNfyY@mia.co.kr,H30
A1820,박선영,710723,M,010-3679-5***,8eGJR@mia.co.kr,H18
A1869,정일영,871110,F,010-3038-4***,ICrst@mia.co.kr,H9
A1634,조정민,770307,F,010-9549-4***,ETi2Y@mia.co.kr,H9
A1656,라유진,831011,M,010-3161-6***,Legj7@mia.co.kr,H19
A1443,국민철,851111,F,010-9393-4***,Ab1If@mia.co.kr,H3
A1158,박영환,811121,F,010-3759-5***,0dwQG@mia.co.kr,H1
A1453,강지연,880722,F,010-1529-1***,iLijt@mia.co.kr,H14
